School ID,School,PCode,DCode,CCode,VCode,SCode,PSCode,School_K,School_K_ascii,prefix_id,valid,isNotSchool,LOCPCode,LOCDCode,LOCCCode,LOCVCode,Id,IsDeleted,DateCreated,LastUpdated,IsActive
"010000000022","Private",1,0,0,0,2,0,"ស្វៃរិន","159.366.195.154.183.330",0,1,1,1,100,10000,100000000,1,0,"01/12/22 08:43:26",,1
"010000000033","Continue Education",1,0,0,0,3,0,"បំពេញវិជ្ជា","148.199.150.193.330.156.183.318.345.182",0,1,1,1,100,10000,100000000,2,0,"01/12/22 08:43:26",,1
"010000000044","Private Continue Education",1,0,0,0,4,0,"ស្វៃរិន បំពេញវិជ្ជា","159.366.195.154.183.330.032.148.199.150.193.330.156.183.318.345.182",0,1,1,1,100,10000,100000000,3,0,"01/12/22 08:43:26",,1
"010101010058","DoEYSBanteaymeanchey",1,6,1,1,8,0,"មន្ទីរ អយក ខេត្ត","152.147.355.184.154.032.162.153.128.032.129.193.336.353",0,1,1,1,106,10601,106060101,4,0,"01/12/22 08:43:26",,1
"010201010051","O Thom",1,2,1,1,5,0,"O Thom","079.032.084.104.111.109",2,1,0,1,102,10201,102020101,5,0,"01/12/22 08:43:26",,1
"010201010077","Mongkol Borei",1,2,1,1,7,0,"ការិ. អយក ស្រុកមង្គលបូរី","128.182.336.183.229.032.162.153.128.032.159.364.187.315.152.132.340.155.148.188.154.184",0,1,1,1,102,10201,102020101,6,0,"01/12/22 08:43:26",,1
"010201030011","Banteay Neang",1,2,1,3,1,0,"Banteay Neang","066.097.110.116.101.097.121.032.078.101.097.110.103",2,1,0,1,102,10201,102020103,7,0,"01/12/22 08:43:26",,1
"010201035061","Banteay Neang",1,2,1,3,506,0,"Banteay Neang","066.097.110.116.101.097.121.032.078.101.097.110.103",1,1,0,1,102,10201,102020103,8,0,"01/12/22 08:43:26",,1
"010201050081","Trang",1,2,1,5,8,0,"Trang","084.114.097.110.103",2,1,0,1,102,10201,102020105,9,0,"01/12/22 08:43:26",,1
"010201060061","Pongror",1,2,1,6,6,0,"Pongror","080.111.110.103.114.111.114",2,1,0,1,102,10201,102020106,10,0,"01/12/22 08:43:26",,1
"010201070841","Kauk Tunloap",1,2,1,7,84,0,"Kauk Tunloap","075.097.117.107.032.084.117.110.108.111.097.112",2,1,0,1,102,10201,102020107,11,0,"01/12/22 08:43:26",,1
"010201075351","Kauk Tunloap",1,2,1,7,535,0,"Kauk Tunloap","075.097.117.107.032.084.117.110.108.111.097.112",1,1,0,1,102,10201,102020107,12,0,"01/12/22 08:43:26",,1
"010201090031","Khilek",1,2,1,9,3,0,"Khilek","075.104.105.108.101.107",2,1,0,1,102,10201,102020109,13,0,"01/12/22 08:43:26",,1
"010201095431","Khilek",1,2,1,9,543,0,"Khilek","075.104.105.108.101.107",1,1,0,1,102,10201,102020109,14,0,"01/12/22 08:43:26",,1
"010201097101","Khilek",1,2,1,9,710,0,"ឃីឡិក","131.184.161.183.311",3,1,0,1,102,10201,102020109,15,0,"01/12/22 08:43:26",,1
"010201120021","Dang Run",1,2,1,12,2,0,"Dang Run","068.097.110.103.032.082.117.110",2,1,0,1,102,10201,102020112,16,0,"01/12/22 08:43:26",,1
"010201125361","Dang Run",1,2,1,12,536,0,"Dang Run","068.097.110.103.032.082.117.110",1,1,0,1,102,10201,102020112,17,0,"01/12/22 08:43:26",,1
"010201150071","Prey Changhar",1,2,1,15,7,0,"Prey Changhar","080.114.101.121.032.067.104.097.110.103.104.097.114",2,1,0,1,102,10201,102020115,18,0,"01/12/22 08:43:26",,1
"010201180041","O Andaung",1,2,1,18,4,0,"O Andaung","079.032.065.110.100.097.117.110.103",2,1,0,1,102,10201,102020118,19,0,"01/12/22 08:43:26",,1
"010202030091","Anlung Thngann",1,2,2,3,9,0,"Anlung Thngann","065.110.108.117.110.103.032.084.104.110.103.097.110.110",2,1,0,1,102,10202,102020203,20,0,"01/12/22 08:43:26",,1
"010202035271","Anlung Thngann",1,2,2,3,527,0,"Anlung Thngann","065.110.108.117.110.103.032.084.104.110.103.097.110.110",1,1,0,1,102,10202,102020203,21,0,"01/12/22 08:43:26",,1
"010202037081","Bat Trang",1,2,2,3,708,0,"បត់ត្រង់","148.143.903.143.364.132.903",3,1,0,1,102,10202,102020203,22,0,"01/12/22 08:43:26",,1
"010202090101","Bat Trang",1,2,2,9,10,0,"Bat Trang","066.097.116.032.084.114.097.110.103",2,1,0,1,102,10202,102020209,23,0,"01/12/22 08:43:26",,1
"010202095381","Bat Trang",1,2,2,9,538,0,"Bat Trang","066.097.116.032.084.114.097.110.103",1,1,0,1,102,10202,102020209,24,0,"01/12/22 08:43:26",,1
"010203030781","Samaki",1,2,3,3,78,0,"Samaki","083.097.109.097.107.105",2,1,0,1,102,10203,102020303,25,0,"01/12/22 08:43:26",,1
"010203050121","Chamnom",1,2,3,5,12,0,"Chamnom","067.104.097.109.110.111.109",2,1,0,1,102,10203,102020305,26,0,"01/12/22 08:43:26",,1
"010203055131","Chamnom",1,2,3,5,513,0,"Chamnom","067.104.097.109.110.111.109",1,1,0,1,102,10203,102020305,27,0,"01/12/22 08:43:26",,1
"010203090161","Raung Ko",1,2,3,9,16,0,"Raung Ko","082.097.117.110.103.032.075.111",2,1,0,1,102,10203,102020309,28,0,"01/12/22 08:43:26",,1
"010203099041","Raung Ko",1,2,3,9,904,0,"រោងគោ","154.196.328.130.196",4,1,0,1,102,10203,102020309,29,0,"01/12/22 08:43:26",,1
"010203110131","Chor Khchas",1,2,3,11,13,0,"Chor Khchas","067.104.111.114.032.075.104.099.104.097.115",2,1,0,1,102,10203,102020311,30,0,"01/12/22 08:43:26",,1
"010203120111","Boeung Troh",1,2,3,12,11,0,"Boeung Troh","066.111.101.117.110.103.032.084.114.111.104",2,1,0,1,102,10203,102020312,31,0,"01/12/22 08:43:26",,1
"010203130141","Dang Trong",1,2,3,13,14,0,"Dang Trong","068.097.110.103.032.084.114.111.110.103",2,1,0,1,102,10203,102020313,32,0,"01/12/22 08:43:26",,1
"010203170151","Kauk Ponley",1,2,3,17,15,0,"Kauk Ponley","075.097.117.107.032.080.111.110.108.101.121",2,1,0,1,102,10203,102020317,33,0,"01/12/22 08:43:26",,1
"010203180801","Say Samon",1,2,3,18,80,0,"Say Samon","083.097.121.032.083.097.109.111.110",2,1,0,1,102,10203,102020318,34,0,"01/12/22 08:43:26",,1
"010204020191","Ta An",1,2,4,2,19,0,"Ta An","084.097.032.065.110",2,1,0,1,102,10204,102020402,35,0,"01/12/22 08:43:26",,1
"010204037091","Ta On",1,2,4,3,709,0,"តាអន","143.182.344.147",3,1,0,1,102,10204,102020403,36,0,"01/12/22 08:43:26",,1
"010204040181","Cheung Chab",1,2,4,4,18,0,"Cheung Chab","067.104.101.117.110.103.032.067.104.097.098",2,1,0,1,102,10204,102020404,37,0,"01/12/22 08:43:26",,1
"010204060171","Char Thmei",1,2,4,6,17,0,"Char Thmei","067.104.097.114.032.084.104.109.101.105",2,1,0,1,102,10204,102020406,38,0,"01/12/22 08:43:26",,1
