PCode,DCode,CCode,Commune,Commune_K,Commune_K_ascii,LOCPCode,LOCDCode,LOCCCode,IsDeleted,DateCreated,LastUpdated,IsActive
1,2,1,"Banteay Neang","Banteay Neang","066.097.110.116.101.097.121.032.078.101.097.110.103",1,102,10201,0,"01/12/22 09:24:57",,1
1,2,2,"Bat Trang","Bat Trang","066.097.116.032.084.114.097.110.103",1,102,10202,0,"01/12/22 09:24:57",,1
1,2,3,"Chamnom","Chamnom","067.104.097.109.110.111.109",1,102,10203,0,"01/12/22 09:24:57",,1
1,2,4,"Kauk Balaing","Kauk Balaing","075.097.117.107.032.066.097.108.097.105.110.103",1,102,10204,0,"01/12/22 09:24:57",,1
1,2,5,"Koy Meng","Koy Meng","075.111.121.032.077.101.110.103",1,102,10205,0,"01/12/22 09:24:57",,1
1,2,6,"O Prasat","O Prasat","079.032.080.114.097.115.097.116",1,102,10206,0,"01/12/22 09:24:57",,1
1,2,7,"Phnom Tauch","Phnom Tauch","080.104.110.111.109.032.084.097.117.099.104",1,102,10207,0,"01/12/22 09:24:57",,1
1,2,8,"Rohat Teuk","Rohat Teuk","082.111.104.097.116.032.084.101.117.107",1,102,10208,0,"01/12/22 09:24:57",,1
1,2,9,"Russey Kroak","Russey Kroak","082.117.115.115.101.121.032.075.114.111.097.107",1,102,10209,0,"01/12/22 09:24:57",,1
1,2,10,"Sambour","Sambour","083.097.109.098.111.117.114",1,102,10210,0,"01/12/22 09:24:57",,1
1,2,11,"Soeu","Soeu","083.111.101.117",1,102,10211,0,"01/12/22 09:24:57",,1
1,2,12,"Sras Raing","Sras Raing","083.114.097.115.032.082.097.105.110.103",1,102,10212,0,"01/12/22 09:24:57",,1
1,2,13,"Ta Lam","Ta Lam","084.097.032.076.097.109",1,102,10213,0,"01/12/22 09:24:57",,1
1,3,1,"Nam Tao","Nam Tao","078.097.109.032.084.097.111",1,103,10301,0,"01/12/22 09:24:57",,1
1,3,2,"Poy Char","Poy Char","080.111.121.032.067.104.097.114",1,103,10302,0,"01/12/22 09:24:57",,1
1,3,3,"Ponley","Ponley","080.111.110.108.101.121",1,103,10303,0,"01/12/22 09:24:57",,1
1,3,4,"Spean Sreng","Spean Sreng","083.112.101.097.110.032.083.114.101.110.103",1,103,10304,0,"01/12/22 09:24:57",,1
1,3,5,"Sras Chik","Sras Chik","083.114.097.115.032.067.104.105.107",1,103,10305,0,"01/12/22 09:24:57",,1
1,3,6,"Phnom Dei","Phnom Dei","080.104.110.111.109.032.068.101.105",1,103,10306,0,"01/12/22 09:24:57",,1
1,4,1,"Chhnour Meanchey","Chhnour Meanchey","067.104.104.110.111.117.114.032.077.101.097.110.099.104.101.121",1,104,10401,0,"01/12/22 09:24:57",,1
1,4,2,"Chup Vary","Chup Vary","067.104.117.112.032.086.097.114.121",1,104,10402,0,"01/12/22 09:24:57",,1
1,4,3,"Phnom Leap","Phnom Leap","080.104.110.111.109.032.076.101.097.112",1,104,10403,0,"01/12/22 09:24:57",,1
1,4,4,"Prasat","Prasat","080.114.097.115.097.116",1,104,10404,0,"01/12/22 09:24:57",,1
1,4,5,"Preah Net Preah","Preah Net Preah","080.114.101.097.104.032.078.101.116.032.080.114.101.097.104",1,104,10405,0,"01/12/22 09:24:57",,1
1,4,6,"Rohal","Rohal","082.111.104.097.108",1,104,10406,0,"01/12/22 09:24:57",,1
1,4,7,"Tien Kam","Tien Kam","084.105.101.110.032.075.097.109",1,104,10407,0,"01/12/22 09:24:57",,1
1,4,8,"Teuk Chor","Teuk Chor","084.101.117.107.032.067.104.111.114",1,104,10408,0,"01/12/22 09:24:57",,1
1,4,9,"Bosbov","Bosbov","066.111.115.098.111.118",1,104,10409,0,"01/12/22 09:24:57",,1
1,5,1,"Changha","Changha","067.104.097.110.103.104.097",1,105,10501,0,"01/12/22 09:24:57",,1
1,5,2,"Kaub","Kaub","075.097.117.098",1,105,10502,0,"01/12/22 09:24:57",,1
1,5,3,"Kut Sat","Kut Sat","075.117.116.032.083.097.116",1,105,10503,0,"01/12/22 09:24:57",,1
1,5,5,"Samrong","Samrong","083.097.109.114.111.110.103",1,105,10505,0,"01/12/22 09:24:57",,1
1,5,6,"Sophy","Sophy","083.111.112.104.121",1,105,10506,0,"01/12/22 09:24:57",,1
1,5,7,"Singh","Singh","083.105.110.103.104",1,105,10507,0,"01/12/22 09:24:57",,1
1,5,9,"O Bei Choan","O Bei Choan","079.032.066.101.105.032.067.104.111.097.110",1,105,10509,0,"01/12/22 09:24:57",,1
1,6,2,"Kampong Svay","Kampong Svay","075.097.109.112.111.110.103.032.083.118.097.121",1,106,10602,0,"01/12/22 09:24:57",,1
1,6,3,"Koh Porng Sat","Koh Porng Sat","075.111.104.032.080.111.114.110.103.032.083.097.116",1,106,10603,0,"01/12/22 09:24:57",,1
1,6,4,"Makak","Makak","077.097.107.097.107",1,106,10604,0,"01/12/22 09:24:57",,1
1,6,5,"O Ambel","O Ambel","079.032.065.109.098.101.108",1,106,10605,0,"01/12/22 09:24:57",,1
1,6,6,"Phneat","Phneat","080.104.110.101.097.116",1,106,10606,0,"01/12/22 09:24:57",,1
1,6,7,"Preah Ponlea","Preah Ponlea","080.114.101.097.104.032.080.111.110.108.101.097",1,106,10607,0,"01/12/22 09:24:57",,1
1,6,8,"Teuk Thla","Teuk Thla","084.101.117.107.032.084.104.108.097",1,106,10608,0,"01/12/22 09:24:57",,1
1,7,1,"Thmar Puok","Thmar Puok","084.104.109.097.114.032.080.117.111.107",1,107,10701,0,"01/12/22 09:24:57",,1
1,7,2,"Kauk Romeat","Kauk Romeat","075.097.117.107.032.082.111.109.101.097.116",1,107,10702,0,"01/12/22 09:24:57",,1
1,7,3,"Kauk Kathen","Kauk Kathen","075.097.117.107.032.075.097.116.104.101.110",1,107,10703,0,"01/12/22 09:24:57",,1
1,7,4,"Phoum Thmei","Phoum Thmei","080.104.111.117.109.032.084.104.109.101.105",1,107,10704,0,"01/12/22 09:24:57",,1
1,7,5,"Banteay Chhmar","Banteay Chhmar","066.097.110.116.101.097.121.032.067.104.104.109.097.114",1,107,10705,0,"01/12/22 09:24:57",,1
