prefix_id,prefix_name,prefix_name_E,prefix_name_full,is_MOE,DESC
1,"​មត្តេយ្យ.","Pre school","​មត្តេយ្យ",0,
2,"បឋម.","Primary School","បឋមមសិក្សា",0,
3,"អនុវិ.","Lower Secondary School","អនុវិទ្យាល័យ",0,
4,"វិ.","Upper Secondary School","វិទ្យាល័យ",0,
5,"នា.","Department","នាយកដ្ឋាន",1,
6,"អគ្គ.នា.","General Directorate","អគ្គនាយកដ្ឋាន",1,
0,,,,0,"ស្វ័យ. បំ. ស្វ័យបំ."
7,"អធិ.","Inspectorate","អធិការដ្ឋាន",1,
8,"អគ្គាធិ.","General Inspectorate","អគ្គាធិការដ្ឋាន",1,
9,"វិ.ស្ថាន.","Institute","វិទ្យាស្ថាន",1,
10,"សាកលវិ.","University","សាកលវិទ្យាល័យ",1,
11,"សាលា.","General School","សាលា",1,
12,,,,1,"អាគត្តដ្ឋានផ្សេងៗ ក្នុងក្រសួងអប់រំ"
