PCode,DCode,District,District_K,District_K_ascii,LOCPCode,LOCDCode
1,2,"Mongkol Borei","មង្គលបូរី","152.132.340.155.148.188.154.184",1,102
1,3,"Phnom Srok","ភ្នំស្រុក","151.357.199.159.364.187.315",1,103
1,4,"Preah Net Preah","ព្រះនេតព្រះ","150.364.201.147.193.336.150.364.201",1,104
1,5,"O Chreuv","អូរជ្រៅ","162.188.154.135.364.197",1,105
1,6,"Serei Sophoan","សិរីសោភ័ណ","159.183.337.184.159.196.347.908.142",1,106
1,7,"Thmar Puok","ថ្មពួក","144.362.150.189.128",1,107
1,8,"Svay Chek","ស្វាយចេក","159.366.182.335.133.193.321",1,108
1,9,"Malai","ម៉ាឡៃ","152.207.182.343.195",1,109
1,10,"Poipet","ប៉ោយប៉ែត","148.207.196.349.148.207.194.143",1,110
2,1,"Banan","បាណន់","148.182.324.147.903",2,201
2,2,"Thmar Kaul","ថ្មគោល","144.362.130.196.351",2,202
2,3,"Battambang","បាត់ដំបង","148.182.325.903.138.199.148.132",2,203
2,4,"Bavel","បវេល","148.156.193.348",2,204
2,5,"Ek Phnom","ឯកភ្នំ","175.128.151.357.199",2,205
2,6,"Maung Russey","មោងឫស្សី","152.196.328.171.159.369.184",2,206
2,7,"Ratanak Mondul","រតនមណ្ឌល","154.143.147.152.142.350.155",2,207
2,8,"Sangker","សង្កែ","159.132.338.194",2,208
2,9,"Kamrieng","កំរៀង","128.199.154.192.132",2,209
2,10,"Phnom Preuk","ភ្នំព្រឹក","151.357.199.150.364.185.313",2,210
2,11,"Samlaut","សំឡូត","159.199.161.188.143",2,211
2,12,"Sampeuv Loun","សំពៅលូន","159.199.150.197.155.188.147",2,212
2,13,"Koah Kralar","គាស់ក្រឡ","130.182.341.903.128.364.161",2,213
2,14,"Rukhak Kiri","រុក្ខគីរី","154.187.315.339.130.184.154.184",2,214
3,1,"Batheay","បាធាយ","148.182.328.182.335",3,301
3,2,"Chamkar Leu","ចំការលើ","133.199.128.182.336.155.190",3,302
3,3,"Cheung Prey","ជើងព្រៃ","135.190.132.150.364.195",3,303
3,5,"Kampong Cham","កំពង់ចាម","128.199.150.132.903.133.182.334",3,305
3,6,"Kampong Siem","កំពង់សៀម","128.199.150.132.903.159.192.152",3,306
3,7,"Kang Meas","កងមាស","128.132.152.182.341",3,307
3,8,"Koh Sotin","កោះសូទិន","128.204.159.188.145.183.330",3,308
3,13,"Prey Chhor","ព្រៃឈរ","150.364.195.136.154",3,313
3,14,"Srey Santhor","ស្រីសន្ធរ","159.364.184.159.147.356.154",3,314
3,15,"Stung Trang","ស្ទឹងត្រង់","159.355.185.317.143.364.132.903",3,315
4,1,"Baribo","បរិបូណ៌","148.154.183.331.188.142.904",4,401
4,2,"Chulkiri","ជលគីរី","135.187.342.130.184.154.184",4,402
4,3,"Kampong Chhnang","កំពង់ឆ្នាំង","128.199.150.132.903.134.357.200.132",4,403
4,4,"Kampong Leng","កំពង់លែង","128.199.150.132.903.155.194.132",4,404
4,5,"Kampong Tralach","កំពង់ត្រឡាច","128.199.150.132.903.143.364.161.182.315",4,405
4,6,"Rolea Pa-ir","រលាប្អៀរ","154.155.182.330.372.192.154",4,406
4,7,"Samaki Meanchey","សាមគ្គីមានជ័យ","159.182.334.130.340.184.152.182.329.135.908.153",4,407
4,8,"Teuk Phos","ទឹកផុស","145.185.313.149.187.346",4,408
5,1,"Barset","បរសេដ្ឋ","148.154.159.193.331.349",5,501
5,2,"Chbar Morn","ច្បារមន","133.358.182.336.152.147",5,502
5,3,"Korng Pisei","គងពិសី","130.132.150.183.342.184",5,503
5,4,"Oral","ឱរ៉ាល់","177.154.207.182.337.903",5,504
5,5,"Oudong","ឧដុង្គ","167.138.187.319.340",5,505
5,6,"Phnom Sruoch","ភ្នំស្រួច","151.357.199.159.364.189.133",5,506
5,7,"Samrong Torng","សំរោងទង","159.199.154.196.328.145.132",5,507
5,8,"Thporng","ថ្ពង","144.360.132",5,508
6,1,"Baray","បារាយណ៍","148.182.336.182.335.142.905",6,601
6,2,"Kampong Svay","កំពង់ស្វាយ","128.199.150.132.903.159.366.182.335",6,602
6,3,"Stung Sen","ស្ទឹងសែន","159.355.185.317.159.194.147",6,603
6,4,"Prasat Balaing","ប្រាសាទបល្ល័ង្ក","148.364.182.341.182.327.148.155.365.908.132.338",6,604
6,5,"Prasat Sambo","ប្រាសាទសម្បូរ","148.364.182.341.182.327.159.152.358.188.154",6,605
6,6,"Sandann","សណ្ដាន់","159.142.348.182.329.903",6,606
6,7,"Santouk","សន្ទុក","159.147.355.187.315",6,607
6,8,"Staung","ស្ទោង","159.355.196.328",6,608
7,1,"Angkor Chey","អង្គរជ័យ","162.132.340.154.135.908.153",7,701
7,2,"Banteay Meas","បន្ទាយមាស","148.147.355.182.335.152.182.341",7,702
7,3,"Chhouk","ឈូក","136.188.128",7,703
7,4,"Chum kiri","ជុំគីរី","135.198.130.184.154.184",7,704
7,5,"Dangtung","ដងទង់","138.132.145.132.903",7,705
7,6,"Kampong Trach","កំពង់ត្រាច","128.199.150.132.903.143.364.182.315",7,706
7,7,"Teuk Chhou","ទឹកឈូ","145.185.313.136.188",7,707
7,8,"Kampot","កំពត","128.199.150.143",7,708
7,9,"Bouko","បូកគោ","148.199.150.143",7,709
8,1,"Kandal Stung","កណ្ដាលស្ទឹង","128.142.348.182.337.159.355.185.317",8,801
8,2,"Kean Svay","កៀនស្វាយ","128.192.147.159.366.182.335",8,802
8,3,"Khsach Kandal","ខ្សាច់កណ្ដាល","129.369.182.315.903.128.142.348.182.337",8,803
8,4,"Koh Thom","កោះធំ","128.204.146.199",8,804
8,5,"Leuk Dek","លើកដែក","155.190.128.138.194.128",8,805
8,6,"Lovea Em","ល្វាឯម","155.366.182.357.152",8,806
8,7,"Muk Kampoul","មុខកំពូល","152.187.316.128.199.150.188.155",8,807
8,8,"Ang Snuol","អង្គស្នួល","162.132.340.159.357.189.155",8,808
8,9,"Ponhea Leu","ពញាឮ","150.137.182.356",8,809
