PCode,DCode,CCode,VCode,SCode,ECenter_Meeting,School ID,ECCode,Group,Rooms,Rooms_Actual,PC,CEC,PCEC,MCSCode,CandidateNC,using,Order,Block,RoomSupp,EC_suffix,gradeLevel,Program,ECCodeSh,ec_sch_code,MarkerGroup_Kess,MarkerGroup_Math,MarkerGroup_Biol,MarkerGroup_Geog,MarkerGroup_Hist,MarkerGroup_MorCiv,MarkerGroup_Chem,MarkerGroup_Phys,MarkerGroup_Earth,MarkerGroup_Lang,MarkerGroup_KessSS,MarkerGroup_MathSS,MarkerGroup_BiolSS,MarkerGroup_GeogSS,MarkerGroup_HistSS,MarkerGroup_MorCivSS,MarkerGroup_ChemSS,MarkerGroup_PhysSS,MarkerGroup_EarthSS,MarkerGroup_LangSS,Id,IsDeleted,DateCreated,LastUpdated,IsActive
1,6,2,1,908,,"010602010019","010602010019129999",0,25,25,0,0,0,424,0,0,7,0,0,,12,2,"7",4,,,,,,,,,,,,,,,,,,,,,1,0,"01/12/22 08:43:26",,1
1,6,2,1,909,,"010602010029","010602010029129999",0,30,30,0,0,0,466,0,0,4,0,0,,12,2,"4",4,,,,,,,,,,,,,,,,,,,,,2,0,"01/12/22 08:43:26",,1
1,6,2,1,13,,"010602010131","010602010131129999",0,29,29,0,0,0,805,0,0,3,0,0,,12,1,"3",3,,,,,,,,,,,,,,,,,,,,,3,0,"01/12/22 08:43:26",,1
1,6,2,1,901,,"010602019011","010602019011129999",0,30,30,0,0,0,719,0,0,2,0,0,,12,1,"2",3,,,,,,,,,,,,,,,,,,,,,4,0,"01/12/22 08:43:26",,1
1,6,2,6,903,,"010602069031","010602069031129999",0,25,25,0,0,0,724,0,0,5,0,0,,12,2,"5",4,,,,,,,,,,,,,,,,,,,,,5,0,"01/12/22 08:43:26",,1
1,6,5,5,902,,"010605059021","010605059021129999",0,30,30,0,0,0,768,0,0,6,0,0,,12,2,"6",4,,,,,,,,,,,,,,,,,,,,,6,0,"01/12/22 08:43:26",,1
1,6,7,3,904,,"010607039041","010607039041129999",0,30,30,0,0,0,836,0,0,1,0,0,,12,1,"1",3,,,,,,,,,,,,,,,,,,,,,7,0,"01/12/22 08:43:26",,1
2,3,1,1,6,,"020301010066","020301010066129999",0,15,15,0,0,0,626,0,0,4,0,0,,12,1,"11",1,,,,,,,,,,,,,,,,,,,,,8,0,"01/12/22 08:43:26",,1
2,3,2,1,901,,"020302019011","020302019011129999",0,26,26,0,0,0,352,0,0,2,0,0,,12,1,"9",1,,,,,,,,,,,,,,,,,,,,,9,0,"01/12/22 08:43:26",,1
2,3,2,4,901,,"020302040011","020302040011129999",0,37,37,0,0,0,587,0,0,1,0,0,,12,1,"8",1,,,,,,,,,,,,,,,,,,,,,10,0,"01/12/22 08:43:26",,1
2,3,2,7,28,,"020302070281","020302070281129999",0,23,23,0,0,0,291,0,0,3,0,0,,12,1,"10",1,,,,,,,,,,,,,,,,,,,,,11,0,"01/12/22 08:43:26",,1
2,3,4,1,902,,"020304010029","020304010029129999",0,37,37,0,0,0,550,0,0,6,0,0,,12,2,"13",2,,,,,,,,,,,,,,,,,,,,,12,0,"01/12/22 08:43:26",,1
2,3,6,2,904,,"020306029041","020306029041129999",0,24,22,0,0,0,745,0,0,10,0,0,,12,2,"17",2,,,,,,,,,,,,,,,,,,,,,13,0,"01/12/22 08:43:26",,1
2,3,10,1,702,,"020310017021","020310017021129999",0,24,24,0,0,0,860,0,0,9,0,0,,12,2,"16",2,,,,,,,,,,,,,,,,,,,,,14,0,"01/12/22 08:43:26",,1
2,3,10,1,902,,"020310019021","020310019021129999",0,37,37,0,0,0,524,0,0,7,0,0,,12,2,"14",2,,,,,,,,,,,,,,,,,,,,,15,0,"01/12/22 08:43:26",,1
2,3,10,4,903,,"020310049031","020310049031129999",0,37,37,0,0,0,371,0,0,8,0,0,,12,2,"15",2,,,,,,,,,,,,,,,,,,,,,16,0,"01/12/22 08:43:26",,1
2,8,1,3,902,,"020801039021","020801039021129999",0,26,25,0,0,0,802,0,0,5,0,0,,12,1,"12",1,,,,,,,,,,,,,,,,,,,,,17,0,"01/12/22 08:43:26",,1
3,3,8,4,29,,"030308040291","030308040291129999",0,21,21,0,0,0,617,0,0,5,0,0,,12,1,"22",150,,,,,,,,,,,,,,,,,,,,,18,0,"01/12/22 08:43:26",,1
3,3,8,4,901,,"030308049011","030308049011129999",0,30,30,0,0,0,820,0,0,12,0,0,,12,2,"29",152,,,,,,,,,,,,,,,,,,,,,19,0,"01/12/22 08:43:26",,1
3,5,1,1,5,,"030501010055","030501010055129999",0,23,23,0,0,0,126,0,0,4,0,0,,12,1,"21",149,,,,,,,,,,,,,,,,,,,,,20,0,"01/12/22 08:43:26",,1
3,5,1,1,6,,"030501010066","030501010066129999",0,25,25,0,0,0,683,0,0,7,0,0,,12,2,"24",151,,,,,,,,,,,,,,,,,,,,,21,0,"01/12/22 08:43:26",,1
3,5,2,8,907,,"030502080029","030502080029129999",0,20,20,0,0,0,297,0,0,3,0,0,,12,1,"20",149,,,,,,,,,,,,,,,,,,,,,22,0,"01/12/22 08:43:26",,1
3,5,2,9,10,,"030502090101","030502090101129999",0,20,20,0,0,0,572,0,0,6,0,0,,12,2,"23",151,,,,,,,,,,,,,,,,,,,,,23,0,"01/12/22 08:43:26",,1
3,5,2,9,901,,"030502099011","030502099011129998",0,34,34,0,0,0,398,0,0,9,0,0,"ជើង",12,2,"26",151,,,,,,,,,,,,,,,,,,,,,24,0,"01/12/22 08:43:26",,1
3,5,2,9,901,,"030502099011","030502099011129999",0,25,25,0,0,0,635,0,0,1,0,0,"ត្បូង",12,1,"18",149,,,,,,,,,,,,,,,,,,,,,25,0,"01/12/22 08:43:26",,1
3,5,4,3,903,,"030504039031","030504039031129999",0,25,25,0,0,0,943,0,0,2,0,0,,12,1,"19",149,,,,,,,,,,,,,,,,,,,,,26,0,"01/12/22 08:43:26",,1
3,5,4,6,702,,"030504067021","030504067021129999",0,20,20,0,0,0,801,0,0,8,0,0,,12,2,"25",151,,,,,,,,,,,,,,,,,,,,,27,0,"01/12/22 08:43:26",,1
3,6,1,2,713,,"030601027131","030601027131129999",0,22,22,0,0,0,336,0,0,10,0,0,,12,2,"27",151,,,,,,,,,,,,,,,,,,,,,28,0,"01/12/22 08:43:26",,1
3,6,9,13,901,,"030609139011","030609139011129999",0,21,19,0,0,0,893,0,0,11,0,0,,12,2,"28",151,,,,,,,,,,,,,,,,,,,,,29,0,"01/12/22 08:43:26",,1
4,3,2,1,901,,"040302019011","040302019011129999",0,25,25,0,0,0,173,0,0,3,0,0,,12,2,"32",36,,,,,,,,,,,,,,,,,,,,,30,0,"01/12/22 08:43:26",,1
4,3,3,2,4,,"040303020041","040303020041129999",0,20,20,0,0,0,718,0,0,5,0,0,,12,2,"34",36,,,,,,,,,,,,,,,,,,,,,31,0,"01/12/22 08:43:26",,1
4,3,4,7,5,,"040304070051","040304070051129999",0,20,20,0,0,0,200,0,0,6,0,0,,12,2,"35",36,,,,,,,,,,,,,,,,,,,,,32,0,"01/12/22 08:43:26",,1
4,3,4,8,902,,"040304089021","040304089021129999",0,22,22,0,0,0,942,0,0,4,0,0,,12,2,"33",36,,,,,,,,,,,,,,,,,,,,,33,0,"01/12/22 08:43:26",,1
4,6,1,1,901,,"040601019011","040601019011129999",0,21,21,0,0,0,452,0,0,1,0,0,,12,1,"30",35,,,,,,,,,,,,,,,,,,,,,34,0,"01/12/22 08:43:26",,1
4,6,7,12,902,,"040607129021","040607129021129999",0,20,17,0,0,0,544,0,0,8,0,0,,12,2,"37",36,,,,,,,,,,,,,,,,,,,,,35,0,"01/12/22 08:43:26",,1
4,6,10,2,27,,"040610020271","040610020271129999",0,18,18,0,0,0,678,0,0,2,0,0,,12,1,"31",35,,,,,,,,,,,,,,,,,,,,,36,0,"01/12/22 08:43:26",,1
4,6,11,4,29,,"040611040291","040611040291129999",0,20,20,0,0,0,717,0,0,7,0,0,,12,2,"36",36,,,,,,,,,,,,,,,,,,,,,37,0,"01/12/22 08:43:26",,1
5,2,1,9,701,,"050201097011","050201097011129999",0,15,15,0,0,0,303,0,0,4,0,0,,12,2,"41",154,,,,,,,,,,,,,,,,,,,,,38,0,"01/12/22 08:43:26",,1
5,2,3,2,901,,"050203029011","050203029011129999",0,12,12,0,0,0,227,0,0,6,0,0,,12,2,"43",154,,,,,,,,,,,,,,,,,,,,,39,0,"01/12/22 08:43:26",,1
5,2,3,7,902,,"050203079021","050203079021129999",0,24,24,0,0,0,685,0,0,1,0,0,,12,1,"38",153,,,,,,,,,,,,,,,,,,,,,40,0,"01/12/22 08:43:26",,1
5,2,3,12,10,,"050203120101","050203120101129999",0,16,16,0,0,0,423,0,0,2,0,0,,12,1,"39",153,,,,,,,,,,,,,,,,,,,,,41,0,"01/12/22 08:43:26",,1
5,2,4,1,702,,"050204017021","050204017021129999",0,27,27,0,0,0,968,0,0,3,0,0,,12,2,"40",154,,,,,,,,,,,,,,,,,,,,,42,0,"01/12/22 08:43:26",,1
5,2,4,9,8,,"050204090081","050204090081129999",0,12,12,0,0,0,559,0,0,7,0,0,,12,2,"44",154,,,,,,,,,,,,,,,,,,,,,43,0,"01/12/22 08:43:26",,1
5,2,5,3,703,,"050205037031","050205037031129999",0,13,13,0,0,0,645,0,0,5,0,0,,12,2,"42",154,,,,,,,,,,,,,,,,,,,,,44,0,"01/12/22 08:43:26",,1
5,7,13,20,902,,"050713209021","050713209021129999",0,20,18,0,0,0,512,0,0,11,0,0,,12,2,"48",154,,,,,,,,,,,,,,,,,,,,,45,0,"01/12/22 08:43:26",,1
5,7,15,1,42,,"050715010421","050715010421129999",0,15,15,0,0,0,914,0,0,9,0,0,,12,2,"46",154,,,,,,,,,,,,,,,,,,,,,46,0,"01/12/22 08:43:26",,1
5,7,15,1,901,,"050715019011","050715019011129999",0,20,20,0,0,0,295,0,0,8,0,0,,12,2,"45",154,,,,,,,,,,,,,,,,,,,,,47,0,"01/12/22 08:43:26",,1
5,7,15,2,43,,"050715020431","050715020431129999",0,13,13,0,0,0,337,0,0,10,0,0,,12,2,"47",154,,,,,,,,,,,,,,,,,,,,,48,0,"01/12/22 08:43:26",,1
6,2,9,9,706,,"060209097061","060209097061129999",0,20,20,0,0,0,574,0,0,3,0,0,,12,2,"51",34,,,,,,,,,,,,,,,,,,,,,49,0,"01/12/22 08:43:26",,1
6,3,1,1,5,,"060301010055","060301010055129999",0,13,13,0,0,0,584,0,0,5,0,0,,12,2,"53",34,,,,,,,,,,,,,,,,,,,,,50,0,"01/12/22 08:43:26",,1
6,3,1,2,1,,"060301020011","060301020011129999",0,14,14,0,0,0,155,0,0,8,0,0,,12,2,"56",34,,,,,,,,,,,,,,,,,,,,,51,0,"01/12/22 08:43:26",,1
6,3,1,2,902,,"060301029021","060301029021129999",0,30,30,0,0,0,209,0,0,7,0,0,,12,2,"55",34,,,,,,,,,,,,,,,,,,,,,52,0,"01/12/22 08:43:26",,1
6,3,3,2,710,,"060303027101","060303027101129999",0,11,11,0,0,0,668,0,0,6,0,0,,12,2,"54",34,,,,,,,,,,,,,,,,,,,,,53,0,"01/12/22 08:43:26",,1
6,3,9,2,25,,"060309020251","060309020251129999",0,21,21,0,0,0,613,0,0,4,0,0,,12,2,"52",34,,,,,,,,,,,,,,,,,,,,,54,0,"01/12/22 08:43:26",,1
6,3,9,2,901,,"060309029011","060309029011129998",0,21,21,0,0,0,215,0,0,2,0,0,"លិច",12,1,"50",33,,,,,,,,,,,,,,,,,,,,,55,0,"01/12/22 08:43:26",,1
6,3,9,2,901,,"060309029011","060309029011129999",0,30,30,0,0,0,665,0,0,1,0,0,"កើត",12,1,"49",33,,,,,,,,,,,,,,,,,,,,,56,0,"01/12/22 08:43:26",,1
6,3,10,6,30,,"060310060301","060310060301129999",0,14,14,0,0,0,400,0,0,9,0,0,,12,2,"57",34,,,,,,,,,,,,,,,,,,,,,57,0,"01/12/22 08:43:26",,1
6,3,10,9,903,,"060310099031","060310099031129999",0,21,21,0,0,0,734,0,0,10,0,0,,12,2,"58",34,,,,,,,,,,,,,,,,,,,,,58,0,"01/12/22 08:43:26",,1
7,1,11,7,40,,"070111070401","070111070401129999",0,12,12,0,0,0,543,0,0,5,0,0,,12,2,"63",108,,,,,,,,,,,,,,,,,,,,,59,0,"01/12/22 08:43:26",,1
7,1,11,7,705,,"070111077051","070111077051129999",0,16,16,0,0,0,791,0,0,3,0,0,,12,1,"61",107,,,,,,,,,,,,,,,,,,,,,60,0,"01/12/22 08:43:26",,1
7,1,11,7,901,,"070111079011","070111079011129999",0,27,27,0,0,0,755,0,0,4,0,0,,12,2,"62",108,,,,,,,,,,,,,,,,,,,,,61,0,"01/12/22 08:43:26",,1
7,7,2,2,708,,"070702027081","070702027081129999",0,24,24,0,0,0,420,0,0,8,0,0,,12,2,"66",109,,,,,,,,,,,,,,,,,,,,,62,0,"01/12/22 08:43:26",,1
7,7,16,1,902,,"070716019021","070716019021129999",0,24,22,0,0,0,319,0,0,10,0,0,,12,2,"68",109,,,,,,,,,,,,,,,,,,,,,63,0,"01/12/22 08:43:26",,1
7,7,18,3,901,,"070718039011","070718039011129999",0,18,18,0,0,0,858,0,0,9,0,0,,12,2,"67",109,,,,,,,,,,,,,,,,,,,,,64,0,"01/12/22 08:43:26",,1
7,8,1,1,5,,"070801010055","070801010055129999",0,20,20,0,0,0,268,0,0,2,0,0,,12,1,"60",106,,,,,,,,,,,,,,,,,,,,,65,0,"01/12/22 08:43:26",,1
7,8,1,1,902,,"070801019021","070801019021129999",0,20,20,0,0,0,518,0,0,1,0,0,,12,1,"59",106,,,,,,,,,,,,,,,,,,,,,66,0,"01/12/22 08:43:26",,1
7,8,1,2,2,,"070801020021","070801020021129999",0,14,14,0,0,0,385,0,0,7,0,0,,12,2,"65",109,,,,,,,,,,,,,,,,,,,,,67,0,"01/12/22 08:43:26",,1
