PCode,P_Prefix_K,Province_K,Province,Province_K_ascii,P_Prefix_K_ascii,Province_KS,Percent
1,"ខេត្ត","បន្ទាយមានជ័យ","Banteay Meanchey","148.147.355.153.152.147.135.208.153","129.143.353","បជ",
2,"ខេត្ត","បាត់ដំបង","Battambang","148.143.203.138.199.148.132","129.143.353","បប",
3,"ខេត្ត","កំពង់ចាម","Kampong Cham","128.199.150.132.203.133.152","129.143.353","កច",
4,"ខេត្ត","កំពង់ឆ្នាំង","Kampong Chhnang","128.199.150.132.203.134.357.200.132","129.143.353","កឆ្ន",
5,"ខេត្ត","កំពង់ស្ពឺ","Kampong Speu","128.199.150.132.203.159.360.186","129.143.353","កស្ព",
6,"ខេត្ត","កំពង់ធំ","Kampong Thom","128.199.150.132.203.146.199","129.143.353","កធ",
7,"ខេត្ត","កំពត","Kampot","128.199.150.143","129.143.353","កព",
8,"ខេត្ត","កណ្តាល","Kandal","128.142.353.155","129.143.353","កណ",
9,"ខេត្ត","កោះកុង","Koh Kong","128.204.128.132","129.143.353","កក",
10,"ខេត្ត","ក្រចេះ","Kratie","128.364.133.203","129.143.353","ក្រច",
11,"ខេត្ត","មណ្ឌលគិរី","Mondul Kiri","152.142.350.155.130.184.154.184","129.143.353","មរ",
12,"រាជធានី","ភ្នំពេញ","Phnom Penh","151.357.199.150.137","154.135.146.147.184","ភព",
13,"ខេត្ត","ព្រះវិហារ","Preah Vihear","150.364.201.156.160.154","129.143.353","ពហ",
14,"ខេត្ត","ព្រៃវែង","Prey Veng","150.364.195.156.194.132","129.143.353","ពវ",
15,"ខេត្ត","ពោធិ៍សាត់","Pursat","150.146.159.143.203","129.143.353","ពស",
16,"ខេត្ត","រតនគិរី","Ratanak Kiri","154.143.147.058.130.184.154.184","129.143.353","ររ",
17,"ខេត្ត","សៀមរាប","Siemreap","159.192.152.154.148","129.143.353","សរ",
18,"ខេត្ត","ព្រះសីហនុ","Preah Sihanouk","150.364.201.159.208.184.160.147.187","129.143.353","សនុ",
19,"ខេត្ត","ស្ទឹងត្រែង","Stung Treng","159.355.132.143.364.194.132","129.143.353","សត",
20,"ខេត្ត","ស្វាយរៀង","Svay Rieng","159.366.153.154.192.132","129.143.353","ស្វរ",
21,"ខេត្ត","តាកែវ","Takeo","143.128.194.156","129.143.353","តក",
22,"ខេត្ត","កែប","Kep","128.194.148","129.143.353","កែប",
23,"ខេត្ត","ប៉ៃលិន","Pailin","148.207.195.155.147","129.143.353","បល",
24,"ខេត្ត","ឧត្តរមានជ័យ","Otdar Meanchey","167.143.353.152.147.135.208.153","129.143.353","ឧជ",
25,"ក្រសួង","អប់រំយុវជន និងកីឡា","Ministry of Education","162.148.203.154.199.153.156.135.147.032.147.132.032.128.184.161.182","128.364.159.189.132","អយក",
